CE-CO,CE-PM10,julian_day,hour
16.15109890109889,106.3159340659341,1,0
17.230769230769223,107.82417582417585,1,1
17.74775224775224,109.1803196803197,1,2
17.798201798201788,110.41758241758242,1,3
17.478271728271714,111.56918081918083,1,4
16.88411588411587,112.66833166833167,1,5
16.111888111888064,113.74825174825158,1,6
15.293706293706245,114.99999999999983,1,7
14.573426573426524,116.16083916083898,1,8
14.02097902097897,117.49650349650331,1,9
13.734265734265684,118.8881118881117,1,10
13.335664335664287,120.24475524475504,1,11
12.755244755244707,121.34965034965013,1,12
12.244755244755195,122.38461538461517,1,13
11.580419580419532,123.223776223776,1,14
11.013986013985967,123.69230769230747,1,15
10.321678321678277,123.87412587412564,1,16
9.510489510489467,123.63636363636338,1,17
8.7412587412587,123.19580419580394,1,18
8.174825174825138,122.79720279720256,1,19
7.741258741258706,122.39160839160813,1,20
7.37062937062934,122.11188811188785,1,21
7.132867132867103,121.72027972027946,1,22
6.853146853146826,121.30069930069904,1,23
6.510489510489485,120.56643356643329,2,0
6.16083916083914,119.6853146853144,2,1
5.846153846153828,118.45454545454517,2,2
5.594405594405582,116.76223776223749,2,3
5.419580419580408,114.98601398601369,2,4
5.3986013986013885,113.19580419580387,2,5
5.454545454545449,111.50349650349618,2,6
5.741258741258739,109.6433566433563,2,7
6.076923076923074,106.92307692307655,2,8
6.510489510489508,102.7762237762234,2,9
7.090909090909087,97.8601398601395,2,10
7.468531468531462,92.51048951048917,2,11
7.615384615384609,86.81818181818147,2,12
7.657342657342649,80.56643356643323,2,13
7.72027972027971,74.7202797202794,2,14
7.699300699300688,69.94405594405563,2,15
7.734265734265723,66.5804195804193,2,16
7.657342657342647,64.20279720279696,2,17
7.608391608391596,62.95804195804175,2,18
7.650349650349641,62.30069930069913,2,19
7.846153846153837,61.62237762237746,2,20
8.244755244755236,60.67832167832153,2,21
8.664335664335656,60.300699300699165,2,22
8.923076923076911,59.958041958041825,2,23
8.993006993006981,59.78321678321666,3,0
9.167832167832156,59.440559440559326,3,1
9.342657342657333,59.916083916083814,3,2
9.48951048951048,61.090909090909,3,3
9.503496503496494,62.17482517482509,3,4
9.510489510489498,63.10489510489503,3,5
9.7132867132867,64.49650349650342,3,6
9.853146853146837,66.16783216783209,3,7
10.083916083916067,67.61538461538454,3,8
10.405594405594389,69.33566433566425,3,9
10.496503496503477,70.7832167832167,3,10
10.510489510489485,72.34965034965028,3,11
10.293706293706265,73.93706293706285,3,12
10.104895104895075,75.41258741258733,3,13
9.664335664335635,77.13286713286703,3,14
9.167832167832138,78.45454545454533,3,15
8.643356643356613,78.93006993006979,3,16
8.28671328671326,79.46153846153832,3,17
8.062937062937038,79.86013986013972,3,18
7.923076923076899,80.04195804195791,3,19
7.818181818181794,79.8461538461537,3,20
7.790209790209768,79.86013986013972,3,21
7.790209790209768,81.50349650349631,3,22
7.769230769230747,81.48251748251727,3,23
7.524475524475505,79.99300699300676,4,0
7.314685314685296,77.35664335664312,4,1
6.909090909090892,73.75524475524453,4,2
6.552447552447543,69.54545454545435,4,3
6.398601398601394,65.3846153846152,4,4
6.496503496503498,62.454545454545304,4,5
6.881118881118886,60.77622377622364,4,6
7.650349650349658,60.55944055944044,4,7
8.4895104895105,62.29370629370619,4,8
9.62237762237763,65.73426573426566,4,9
10.797202797202806,71.17482517482514,4,10
11.762237762237767,74.59440559440556,4,11
12.57342657342657,77.97202797202792,4,12
13.146853146853136,80.81118881118874,4,13
13.33566433566432,82.86013986013977,4,14
13.237762237762217,84.34965034965025,4,15
13.05594405594403,85.20979020979009,4,16
12.776223776223748,85.7482517482516,4,17
12.475524475524447,85.93006993006978,4,18
12.244755244755217,85.74825174825159,4,19
11.999999999999972,85.4685314685313,4,20
11.970629370629343,84.6643356643355,4,21
11.931694568058179,84.02797202797186,4,22
11.966179275270157,83.71328671328654,4,23
12.069421487603282,83.95104895104879,5,0
12.087575051211392,84.72727272727256,5,1
11.174486119940665,85.72027972027955,5,2
11.253231616867993,86.31468531468515,5,3
12.002133220315054,86.48951048951028,5,4
13.344267853358776,86.18881118881097,5,5
15.048866285229932,85.3216783216781,5,6
16.899145299145303,83.62237762237737,5,7
18.769230769230763,80.74125874125848,5,8
20.516083916083893,77.23076923076897,5,9
21.795648795648763,73.59440559440533,5,10
22.251748251748204,69.7762237762235,5,11
21.64335664335658,64.3286713286711,5,12
19.85314685314678,60.972027972027796,5,13
16.92307692307683,59.46153846153831,5,14
14.832167832167748,59.279720279720145,5,15
12.776223776223702,60.202797202797086,5,16
11.09090909090903,62.05594405594395,5,17
9.930069930069878,64.45454545454535,5,18
9.265734265734226,67.02097902097893,5,19
9.286713286713258,69.32167832167822,5,20
9.832167832167816,71.10489510489498,5,21
10.545454545454536,71.81118881118869,5,22
11.33566433566433,70.90209790209775,5,23
12.14685314685314,68.34965034965016,6,0
12.678321678321671,67.89510489510472,6,1
13.02797202797202,67.13986013985996,6,2
13.279720279720268,66.11188811188794,6,3
13.671328671328656,64.76223776223756,6,4
13.99300699300697,63.160839160838954,6,5
14.230769230769202,61.34265734265714,6,6
14.230769230769193,59.230769230769035,6,7
14.097902097902058,56.68531468531449,6,8
13.79720279720275,53.6923076923075,6,9
13.230769230769175,50.69930069930052,6,10
12.342657342657285,47.923076923076756,6,11
11.181818181818123,45.95104895104881,6,12
9.706293706293648,44.99300699300688,6,13
8.272727272727217,44.54545454545443,6,14
7.0979020979020495,45.013986013985914,6,15
6.167832167832129,45.9930069930069,6,16
5.363636363636334,47.279720279720195,6,17
4.9230769230769,48.48951048951041,6,18
4.825174825174808,49.146853146853054,6,19
5.0349650349650235,49.17482517482508,6,20
5.503496503496497,48.89510489510478,6,21
5.9999999999999964,47.93706293706282,6,22
6.342657342657338,46.44755244755231,6,23
6.580419580419577,44.783216783216645,7,0
6.608391608391612,43.111888111887986,7,1
6.692307692307703,41.524475524475406,7,2
7.055944055944067,40.405594405594286,7,3
7.587412587412596,39.65034965034954,7,4
8.34265734265735,39.153846153846054,7,5
9.314685314685322,38.72027972027963,7,6
10.342657342657347,38.35664335664327,7,7
11.57342657342657,38.34965034965027,7,8
12.692307692307676,38.587412587412516,7,9
13.349650349650322,38.7762237762237,7,10
13.2377622377622,39.13286713286706,7,11
12.384615384615339,39.39860139860132,7,12
10.986013986013935,39.18881118881111,7,13
9.433566433566382,39.16083916083907,7,14
8.069930069930024,38.95804195804188,7,15
6.839160839160797,38.69930069930061,7,16
5.685314685314651,38.30769230769223,7,17
4.937062937062912,37.629370629370555,7,18
4.818181818181801,37.139860139860076,7,19
5.384615384615378,37.13286713286707,7,20
6.188811188811188,37.475524475524416,7,21
6.972027972027974,38.26573426573421,7,22
7.524475524475528,39.52447552447547,7,23
8.0979020979021,40.8461538461538,8,0
8.545454545454549,41.9510489510489,8,1
8.874125874125877,43.279720279720216,8,2
9.321678321678325,44.09090909090903,8,3
9.727272727272727,44.68531468531462,8,4
10.006993006993003,44.97902097902091,8,5
10.412587412587405,44.874125874125795,8,6
10.979020979020968,44.776223776223695,8,7
11.510489510489494,44.50349650349642,8,8
12.055944055944032,44.50349650349642,8,9
12.216783216783185,44.41258741258735,8,10
11.944055944055902,44.727272727272656,8,11
11.216783216783174,45.51748251748245,8,12
10.181818181818137,46.60839160839154,8,13
9.06293706293702,47.76223776223769,8,14
8.02097902097898,48.74125874125867,8,15
6.98601398601395,49.53846153846146,8,16
6.195804195804164,50.314685314685235,8,17
5.643356643356618,50.999999999999915,8,18
5.47552447552446,51.153846153846054,8,19
5.734265734265726,50.53146853146842,8,20
6.356643356643355,49.636363636363534,8,21
6.930069930069929,48.72727272727262,8,22
7.412587412587413,47.99999999999989,8,23
7.74825174825175,47.3076923076922,9,0
8.111888111888117,46.7972027972027,9,1
8.587412587412599,46.26573426573418,9,2
9.23076923076924,45.97202797202788,9,3
9.853146853146862,46.069930069929995,9,4
10.664335664335674,46.60839160839155,9,5
11.47552447552448,47.59440559440554,9,6
12.419580419580418,48.951048951048904,9,7
13.48951048951048,50.69930069930064,9,8
14.384615384615365,52.797202797202736,9,9
14.90909090909088,54.87412587412581,9,10
14.818181818181777,56.18881118881111,9,11
14.216783216783167,57.07692307692299,9,12
13.160839160839101,57.72027972027963,9,13
11.825174825174765,57.83916083916073,9,14
10.335664335664276,57.64335664335653,9,15
8.741258741258683,57.2167832167831,9,16
7.258741258741209,56.671328671328546,9,17
6.1048951048950615,56.314685314685185,9,18
5.3286713286712954,56.573426573426445,9,19
5.041958041958018,57.027972027971906,9,20
5.083916083916067,57.412587412587285,9,21
5.342657342657332,56.97202797202785,9,22
5.6013986013985955,56.286713286713166,9,23
5.9370629370629375,55.86013986013973,10,0
6.398601398601401,55.349650349650226,10,1
6.77622377622378,54.825174825174685,10,2
7.167832167832173,54.293706293706144,10,3
7.657342657342663,53.48251748251734,10,4
8.160839160839163,52.54545454545439,10,5
8.762237762237762,51.57342657342642,10,6
9.391608391608386,50.30069930069915,10,7
9.993006993006988,48.70629370629356,10,8
10.60139860139859,46.832167832167684,10,9
10.944055944055924,44.860139860139704,10,10
10.853146853146827,43.076923076922924,10,11
10.573426573426541,41.50349650349636,10,12
10.055944055944021,39.99300699300686,10,13
9.265734265734228,38.62937062937049,10,14
8.3356643356643,37.405594405594286,10,15
7.489510489510459,36.19580419580408,10,16
6.783216783216759,35.16783216783206,10,17
6.412587412587394,34.30769230769222,10,18
6.328671328671316,33.54545454545446,10,19
6.73426573426572,33.258741258741175,10,20
7.33216783216782,33.19580419580412,10,21
7.809776082503344,33.58041958041951,10,22
8.163302606484413,33.82517482517475,10,23
8.454727091090719,33.95804195804188,11,0
8.519380871653588,33.99300699300693,11,1
7.160960251869364,33.916083916083856,11,2
6.9389057911785565,33.69930069930064,11,3
7.909161545525222,33.76223776223771,11,4
9.680119123300976,33.94405594405589,11,5
12.05597432870163,34.48251748251744,11,6
14.701062826062845,35.30769230769227,11,7
17.692307692307708,36.426573426573384,11,8
20.324050949050942,37.35664335664332,11,9
22.183705183705154,38.230769230769205,11,10
22.83653846153841,39.27972027972026,11,11
21.822177822177757,40.5244755244755,11,12
19.21095571095563,41.90909090909087,11,13
15.076923076922967,43.31468531468527,11,14
12.188811188811089,44.63636363636358,11,15
9.531468531468448,46.11888111888106,11,16
7.188811188811124,47.39160839160833,11,17
5.587412587412539,48.559440559440496,11,18
4.804195804195774,49.188811188811115,11,19
5.118881118881107,49.41258741258734,11,20
6.279720279720287,49.118881118881035,11,21
7.874125874125892,48.53146853146845,11,22
9.573426573426595,48.45454545454538,11,23
11.083916083916103,48.881118881118816,12,0
12.342657342657361,49.54545454545449,12,1
13.363636363636383,50.552447552447504,12,2
14.132867132867153,52.11888111888107,12,3
14.853146853146868,54.034965034965,12,4
15.727272727272737,56.07692307692304,12,5
16.741258741258747,58.454545454545425,12,6
17.74125874125874,60.923076923076884,12,7
18.9090909090909,63.53146853146849,12,8
20.28671328671327,66.02097902097897,12,9
21.405594405594375,68.45454545454538,12,10
21.853146853146807,70.4895104895104,12,11
21.783216783216726,71.86713286713277,12,12
20.9650349650349,72.18881118881109,12,13
19.60839160839154,72.3146853146852,12,14
17.965034965034892,72.46153846153835,12,15
16.314685314685242,72.67832167832157,12,16
14.874125874125804,72.93706293706283,12,17
13.552447552447484,73.72727272727262,12,18
12.580419580419516,74.78321678321666,12,19
12.034965034964978,76.3146853146852,12,20
11.762237762237714,78.04195804195794,12,21
11.335664335664292,79.9930069930069,12,22
10.916083916083872,81.2027972027971,12,23
10.664335664335624,82.09090909090898,13,0
10.188811188811151,83.83216783216766,13,1
9.482517482517446,84.90209790209771,13,2
8.846153846153811,84.72027972027948,13,3
8.335664335664305,83.72727272727248,13,4
8.006993006992978,81.54545454545429,13,5
7.748251748251724,78.18881118881092,13,6
7.678321678321658,73.80419580419553,13,7
7.594405594405578,68.97902097902069,13,8
7.587412587412572,63.94405594405567,13,9
7.811188811188796,59.04895104895078,13,10
8.111888111888097,54.68531468531442,13,11
8.335664335664323,51.45454545454521,13,12
8.3146853146853,49.76923076923055,13,13
8.111888111888103,47.230769230769035,13,14
8.174825174825168,44.643356643356455,13,15
8.307692307692303,42.33566433566416,13,16
8.62237762237762,40.19580419580403,13,17
8.986013986013985,37.979020979020824,13,18
9.496503496503497,36.05594405594391,13,19
10.083916083916082,34.38461538461526,13,20
10.769230769230768,33.21678321678309,13,21
11.650349650349648,32.37762237762226,13,22
12.33566433566433,31.6153846153845,13,23
12.832167832167825,30.75524475524465,14,0
12.993006993006981,29.685314685314587,14,1
13.069930069930052,28.34265734265725,14,2
13.251748251748234,27.097902097902015,14,3
13.419580419580399,25.909090909090832,14,4
13.545454545454524,25.118881118881053,14,5
13.615384615384588,24.489510489510426,14,6
13.706293706293675,24.244755244755186,14,7
13.678321678321641,24.286713286713233,14,8
13.559440559440517,24.7482517482517,14,9
13.405594405594357,25.42657342657338,14,10
12.748251748251695,25.923076923076874,14,11
11.762237762237708,26.146853146853097,14,12
10.545454545454492,26.006993006992953,14,13
9.286713286713239,25.811188811188753,14,14
8.097902097902056,25.49650349650344,14,15
6.999999999999972,25.013986013985956,14,16
6.216783216783201,24.713286713286653,14,17
6.006993006993003,24.09790209790204,14,18
6.356643356643365,23.54545454545449,14,19
7.286713286713309,23.09790209790204,14,20
8.776223776223809,22.951048951048897,14,21
10.594405594405634,22.685314685314637,14,22
12.531468531468574,22.433566433566387,14,23
14.657342657342705,22.209790209790167,15,0
16.475524475524534,22.16783216783213,15,1
18.5384615384616,22.21678321678319,15,2
21.160839160839217,22.468531468531452,15,3
